Token                      Lexeme 
---------------------------------- 
keyword                       int 
identifier                      a 
seperator                       ; 
identifier                      b 
operator                        = 
seperator                       ( 
identifier                      e 
operator                        + 
integer                         2 
operator                        * 
identifier                      c 
seperator                       ) 
seperator                       ; 
